原文: 第一章  燃烧  positive_prob: 0.551491  confidence: 0.003314  negative_prob: 0.448509  sentiment: 2.000000  
 原文:     同伴们嗤笑着发表各自的感想，他们的反应让山下良介感到很满足。  positive_prob: 0.862649  confidence: 0.694776  negative_prob: 0.137351  sentiment: 2.000000  
 原文:     “不知道。怀孕那种事……不乐意的话，不做不就行了嘛！”他若无其事地说。  positive_prob: 0.169805  confidence: 0.622656  negative_prob: 0.830195  sentiment: 0.000000  
 原文:     或许还想再加一句无耻的台词吧，山下又像往常一样，开口说话之前用双手梳理了一下前额的头发。  positive_prob: 0.053398  confidence: 0.881337  negative_prob: 0.946602  sentiment: 0.000000  
 原文:     突然，他瞪大眼睛，与此同时，意想不到的事情发生了。  positive_prob: 0.292190  confidence: 0.350689  negative_prob: 0.707810  sentiment: 0.000000  
 原文:     从山下的头后面蹿出一团火来，火焰瞬间就吞噬了他整个头部。  positive_prob: 0.439970  confidence: 0.022289  negative_prob: 0.560030  sentiment: 0.000000  
 原文:     还没等山下叫出声来，他就像大树起火后倒下那样慢慢地倒向前方。此时和彦与其他三人都目瞪口呆地目睹了这电影慢镜头一般的情景。  positive_prob: 0.059807  confidence: 0.867096  negative_prob: 0.940193  sentiment: 0.000000  
 原文:     他们发呆的时间不过几秒钟。通过右眼角的余光，和彦发现刚才那个报纸包囊的东西正在开始燃烧。此刻，有一种直觉告诉他，自己正处在危险之中。  positive_prob: 0.587815  confidence: 0.084034  negative_prob: 0.412185  sentiment: 2.000000  
 原文:     伴随着巨大的爆炸声，火焰涌向了他的身体……  positive_prob: 0.705745  confidence: 0.346100  negative_prob: 0.294255  sentiment: 2.000000  
 原文:     2  positive_prob: 0.511027  confidence: 0.779453  negative_prob: 0.488973  sentiment: 1.000000  
 原文:     当警察局搜查科的草薙俊介开着爱车赶到事故现场的时候，火已经熄灭了，消防队也要收工了，连看热闹的人也开始纷纷数去。  positive_prob: 0.392900  confidence: 0.126890  negative_prob: 0.607100  sentiment: 0.000000  
 原文:     在下车向案发现场走去的时候，他看见了一个穿着红色运动衫的小女孩也正前走来。她的体型和脸都很稚嫩，看起来也就刚上小学，不知为什么，她一直仰着头往前走，看起来像是在寻找着什么东西。  positive_prob: 0.678421  confidence: 0.285379  negative_prob: 0.321579  sentiment: 2.000000  
 原文:     这样走路可很危险啊！他刚要喊，女孩好像被什么绊了一下，跌倒了，大哭起来。  positive_prob: 0.372067  confidence: 0.173185  negative_prob: 0.627933  sentiment: 0.000000  
 原文:     草薙赶紧跑上前去抱起女孩，女孩的膝盖流血了。  positive_prob: 0.417167  confidence: 0.072963  negative_prob: 0.582833  sentiment: 0.000000  
 原文:     “啊，真不好意思！”一位貌似女孩母亲的女人跑了过来，“不是说了让你和我一起走嘛！真不好意思啊。真是的，要是在家里好好待着就好啦。”  positive_prob: 0.820082  confidence: 0.600182  negative_prob: 0.179918  sentiment: 2.000000  
 原文:     草薙本想说：与责备女儿相比，大半夜的跑到火灾现场看热闹不是更糟糕吗？最终他还是忍住了没说，只是默默地把女孩交给了她母亲。  positive_prob: 0.268208  confidence: 0.403982  negative_prob: 0.731792  sentiment: 0.000000  
 原文:     “我真的看到上面有一条红线呀，真的有嘛。”女孩边哭边说。  positive_prob: 0.548207  confidence: 0.035856  negative_prob: 0.451793  sentiment: 1.000000  
 原文:     “哪儿有那种东西呀！哎呀！衣服弄得这么脏！”  positive_prob: 0.123994  confidence: 0.724458  negative_prob: 0.876006  sentiment: 0.000000  
 原文:     “我看见了呀！红色的线！很长很长的线，真的有！”  positive_prob: 0.662816  confidence: 0.250703  negative_prob: 0.337184  sentiment: 2.000000  
 原文:     红色的线到底是什么呢？草薙思索着离开了母女俩。  positive_prob: 0.400236  confidence: 0.110586  negative_prob: 0.599764  sentiment: 0.000000  
 原文:     到达事故现场的时候，完全被烧黑的马路中央站着几个男子，其中一位就是草薙的上司间宫警官。  positive_prob: 0.164731  confidence: 0.633932  negative_prob: 0.835269  sentiment: 0.000000  
 原文:     “我来晚了，对不起！”草薙跑上前去说道。  positive_prob: 0.170896  confidence: 0.620232  negative_prob: 0.829104  sentiment: 0.000000  
 原文:     “辛苦了！”间宫微微点了点头，他身材矮胖，脖子也很短，虽然看上去挺敦厚老实的模样，可是目光却很犀利。不过，与警察的身份相，他看起来倒更像一名普通行业的上班族。  positive_prob: 0.355209  confidence: 0.210647  negative_prob: 0.644791  sentiment: 0.000000  
 原文:     “纵火吗？”  positive_prob: 0.248475  confidence: 0.447833  negative_prob: 0.751525  sentiment: 0.000000  
 原文:     “不，现在还说不准。”  positive_prob: 0.170355  confidence: 0.621433  negative_prob: 0.829645  sentiment: 0.000000  
 原文:     “有汽油味。”草薙抽动了一下鼻子。  positive_prob: 0.361548  confidence: 0.196560  negative_prob: 0.638452  sentiment: 0.000000  
 原文:     “好像是放在塑料桶里的什么东西烧着了。”  positive_prob: 0.348428  confidence: 0.225716  negative_prob: 0.651572  sentiment: 0.000000  
 原文:     “塑料桶？为什么这里会有那样的东西呢？”  positive_prob: 0.298746  confidence: 0.336121  negative_prob: 0.701254  sentiment: 0.000000  
 原文:     “不知道，你看看那个！”间宫手指着滚到路边的一个物体。  positive_prob: 0.126716  confidence: 0.718408  negative_prob: 0.873284  sentiment: 0.000000  
 原文:     那物体看上击的确像是用来装油的塑料桶，以侧面为中心的大部分都被烧熔了，已经无法辨认原形。  positive_prob: 0.182119  confidence: 0.595291  negative_prob: 0.817881  sentiment: 0.000000  
 原文:     “已经向被害者询问了事故的原因，但是他们却完全不知道到底发生了什么事。”间宫摇着头说。  positive_prob: 0.205085  confidence: 0.544255  negative_prob: 0.794915  sentiment: 0.000000  
 原文:     “被害者是些什么人？”  positive_prob: 0.245848  confidence: 0.453672  negative_prob: 0.754152  sentiment: 0.000000  
 原文:     “不满二十岁的五个男孩。”间宫之后又生硬地补充道，“还死了一个。”  positive_prob: 0.046442  confidence: 0.896795  negative_prob: 0.953558  sentiment: 0.000000  
 原文:     正在做笔录的草薙怀着厌恶的心情记录下了这些内容。虽说死人是常有的事，但是，总与死亡事件打交道绝不会给人带来什么好心情。  positive_prob: 0.017260  confidence: 0.961646  negative_prob: 0.982741  sentiment: 0.000000  
 原文:     “你能在这附近走访一下吗？我觉得被骚乱惊醒的人并不少！从外面看有几家的屋里还亮着灯，你可以去那里看一下。”  positive_prob: 0.166674  confidence: 0.629613  negative_prob: 0.833326  sentiment: 0.000000  
 原文:     “明白了。”草薙一边回答一边环顾四周，马上就注意到旁边拐角处的一座公寓里，有几家的确还亮着灯。  positive_prob: 0.156372  confidence: 0.652506  negative_prob: 0.843628  sentiment: 0.000000  
 原文:     公寓是一座老式的二层建筑，几户大门并排地对着东西走向的马路。楼梯大概是在与马路相反的南侧，所以只有侧面的房间才有窗户，而能够看到事故现场的也只有东北角的房间了。  positive_prob: 0.585299  confidence: 0.078442  negative_prob: 0.414701  sentiment: 2.000000  
 原文:     在草薙走近公寓的时候，恰好遇见一个小伙子正要进一楼东北角的房间。他从口袋里拿出钥匙，刚要往门的钥匙孔里插。  positive_prob: 0.240595  confidence: 0.465344  negative_prob: 0.759405  sentiment: 0.000000  
 原文:     “打扰一下。”草薙在小伙子的背后向他打招呼。  positive_prob: 0.456258  confidence: 0.125167  negative_prob: 0.543742  sentiment: 1.000000  
 原文:     小伙子转过身来。他看上去只有二十出头，个子很高，穿着件灰色的工作服，好像是刚去过便利店的样子，手里还提着个白袋子。  positive_prob: 0.600267  confidence: 0.111704  negative_prob: 0.399733  sentiment: 2.000000  
 原文:     “刚才，就在那边发生了火灾事故，你知道吗？”草薙拿出证件之后，手指着T字形路口的方向问青年。  positive_prob: 0.109112  confidence: 0.757528  negative_prob: 0.890888  sentiment: 0.000000  
 原文:     “哦，知道啊，真是太可怕了！”  positive_prob: 0.260303  confidence: 0.421549  negative_prob: 0.739697  sentiment: 0.000000  
 原文:     “当时您在屋里吗？”草薙看到大门上贴的门牌是105号。  positive_prob: 0.163592  confidence: 0.636461  negative_prob: 0.836408  sentiment: 0.000000  
 原文:     “在。”小伙子回答。  positive_prob: 0.270613  confidence: 0.398639  negative_prob: 0.729387  sentiment: 0.000000  
 原文:     “事故发生前有什么变化吗？比如听到什么奇怪的声音，或者看见什么没有？”  positive_prob: 0.071640  confidence: 0.840800  negative_prob: 0.928360  sentiment: 0.000000  
 原文:     “这个嘛！怎么说呢？”小伙子侧着头说，“我呢，当时正在看电视，但也确实知道那些家伙好像发生了什么骚乱。”  positive_prob: 0.367872  confidence: 0.182506  negative_prob: 0.632128  sentiment: 0.000000  
 原文:     “你说的那些家伙是指那几个骑摩托车的年轻人吗？”  positive_prob: 0.350437  confidence: 0.221251  negative_prob: 0.649563  sentiment: 0.000000  
 原文:     “是。”小伙子稍微歪了下头，“每到周末他们总会来这里，也不知道他们是从哪儿来的，即使到了凌晨两三点钟，也还是闹哄哄的。这附近原本是个僻静的好地方。”  positive_prob: 0.639507  confidence: 0.198904  negative_prob: 0.360493  sentiment: 2.000000  
 原文:     说到这里，他轻咬了一下嘴唇，仿佛平日里的愤恨都饱含其中了。  positive_prob: 0.776187  confidence: 0.502638  negative_prob: 0.223813  sentiment: 2.000000  
 原文:     那些家伙真是遭天谴了——草薙话到嘴边又咽回到肚子里，意识到这句话不够慎重。  positive_prob: 0.023338  confidence: 0.948137  negative_prob: 0.976662  sentiment: 0.000000  
 原文:     “有谁留意到这事了吗？”  positive_prob: 0.141942  confidence: 0.684573  negative_prob: 0.858058  sentiment: 0.000000  
 原文:     “留意？谁会呢！”小伙子耸耸肩膀淡淡地笑了一下，“在现在的日本，好像没有人会费那个心思吧！”  positive_prob: 0.302465  confidence: 0.327855  negative_prob: 0.697535  sentiment: 0.000000  
 原文:     草薙点点头，心想这话也确实有道理。  positive_prob: 0.422486  confidence: 0.061142  negative_prob: 0.577514  sentiment: 0.000000  
 原文:     “从你的房司里可以看到现场吗？”  positive_prob: 0.349159  confidence: 0.224092  negative_prob: 0.650841  sentiment: 0.000000  
 原文:     “看得见……应该吧，本来……”青年含糊不清地回答道。  positive_prob: 0.322753  confidence: 0.282770  negative_prob: 0.677247  sentiment: 0.000000  
 原文:     “怎么回事呢？”  positive_prob: 0.275101  confidence: 0.388664  negative_prob: 0.724899  sentiment: 0.000000  
 原文:     听草薙这么一问，青年就打开了门：“你进去看看就明白了！”  positive_prob: 0.138850  confidence: 0.691445  negative_prob: 0.861150  sentiment: 0.000000  
 原文:     于是草薙就朝屋内张望了一眼，这是间不足八块榻榻米大的一居室，只在前面有个小厨房。一张床，一个书架和一张玻璃餐桌，这就是小伙子的全部家具了。桌子上放了个无线电话，不过草薙觉得在这种地方恐咱很少会用到它。书架上堆放的录像带和其他生活日用品的数量远远超过了书的数量。  positive_prob: 0.107379  confidence: 0.761380  negative_prob: 0.892621  sentiment: 0.000000  
 原文:     “那么窗户在哪儿？”  positive_prob: 0.190486  confidence: 0.576698  negative_prob: 0.809514  sentiment: 0.000000  
 原文:     “里面。”小伙子指着书架说，“没有地方放书架了，没办法只好把窗户堵上了。”  positive_prob: 0.077951  confidence: 0.826775  negative_prob: 0.922049  sentiment: 0.000000  
 原文:     “原来如此啊！”  positive_prob: 0.484779  confidence: 0.695575  negative_prob: 0.515221  sentiment: 1.000000  
 原文:     “幸亏它了，正好还能多少阻隔一下外面的噪声。”  positive_prob: 0.461567  confidence: 0.231338  negative_prob: 0.538433  sentiment: 1.000000  
 原文:     “你真聪明啊！”  positive_prob: 0.351312  confidence: 0.219306  negative_prob: 0.648688  sentiment: 0.000000  
 原文:     “住在这儿附近的人全都这么做的。”  positive_prob: 0.374218  confidence: 0.168405  negative_prob: 0.625782  sentiment: 0.000000  
 原文:     “噢？”草薙的目光落在了和电视机相连的耳机上。可能是因为噪声太大了才用这个来看电视吧，可这样一来，假如有什么异常声响的话，他也不太可能听得见啊。  positive_prob: 0.092135  confidence: 0.795255  negative_prob: 0.907865  sentiment: 0.000000  
 原文:     草薙接着说了些“真感谢啊”、“这真是很有价值的信息”之类的话。虽然没有什么实际收获，但这么说的确是对别人配合自己工作的一种扎节。  positive_prob: 0.892139  confidence: 0.760309  negative_prob: 0.107861  sentiment: 2.000000  
 原文:     “那个……”小伙子说，“你也要去205号房间调查吗？”  positive_prob: 0.129074  confidence: 0.713168  negative_prob: 0.870926  sentiment: 0.000000  
 原文:     “你说的205号房间是在你楼上吧！嗯，我正有这个打算。”  positive_prob: 0.638549  confidence: 0.196776  negative_prob: 0.361451  sentiment: 2.000000  
 原文:     “这样啊！”看样子小伙子想要说点什么。  positive_prob: 0.260468  confidence: 0.421183  negative_prob: 0.739532  sentiment: 0.000000  
 原文:     “怎么了？”  positive_prob: 0.248051  confidence: 0.448776  negative_prob: 0.751949  sentiment: 0.000000  
 原文:     “嗯，这个嘛，事实上，”小伙子迟疑了一会儿开口说，“楼上住着个叫前岛的家伙，他说话不行。”  positive_prob: 0.219867  confidence: 0.511407  negative_prob: 0.780133  sentiment: 0.000000  
 原文:     “说话不行？什么意思？”  positive_prob: 0.052947  confidence: 0.882340  negative_prob: 0.947053  sentiment: 0.000000  
 原文:     “就是不能说话，或者说他是个哑巴！”  positive_prob: 0.180834  confidence: 0.598146  negative_prob: 0.819166  sentiment: 0.000000  
 原文:     “啊？！”  positive_prob: 0.387692  confidence: 0.138463  negative_prob: 0.612309  sentiment: 0.000000  
 原文:     草薙觉得很意外。幸亏他事先告诉了自己，否则自己如果贸然前去调查的话，他一定会不知所措的。  positive_prob: 0.677605  confidence: 0.283567  negative_prob: 0.322395  sentiment: 2.000000  
 原文:     “我和你一起去怎么样？”小伙子说，“那家伙和我关系相当铁！”  positive_prob: 0.544991  confidence: 0.100174  negative_prob: 0.455009  sentiment: 1.000000  
 原文:     “这样合适吗？”  positive_prob: 0.329721  confidence: 0.267287  negative_prob: 0.670279  sentiment: 0.000000  
 原文:     “没事儿。”本已经进了屋的小伙子又重新穿上了运动鞋。  positive_prob: 0.529743  confidence: 0.405142  negative_prob: 0.470257  sentiment: 1.000000  
 原文:     这个热心的年轻人名叫金森龙男。据他讲，住在205号房间的人叫前岛之一，虽然说话不行，可他的听力却没有一点儿问题。  positive_prob: 0.711242  confidence: 0.358316  negative_prob: 0.288758  sentiment: 2.000000  
 原文:     “他耳朵的听力比咱们强多了，所以嘛，那些家伙制造出来的噪声快把他折磨疯了。”金森边爬着扶手都生了锈的楼梯，边和草薙说道。  positive_prob: 0.450488  confidence: 0.009755  negative_prob: 0.549512  sentiment: 1.000000  
 原文:     刚敲了下205号房间的门，里面马上就有了回应。从打开的门缝里可以看到一张年轻而消瘦的脸。他看起来比金森还年轻，下巴很尖，脸色苍白。  positive_prob: 0.824626  confidence: 0.610280  negative_prob: 0.175374  sentiment: 2.000000  
 原文:     前岛发现深夜来访的人之中有金森，马上显出比较放心的样子，但即便如此，他看着草薙的目光也还是显得很戒备。  positive_prob: 0.797774  confidence: 0.550608  negative_prob: 0.202226  sentiment: 2.000000  
 原文:     “他是刑警，是来调查刚才发生的事故的。”  positive_prob: 0.315645  confidence: 0.298567  negative_prob: 0.684355  sentiment: 0.000000  
 原文:     在金森介绍的同时，草薙掏出警察证件向他出示。前岛稍稍迟疑了一下，然后将门敞开。  positive_prob: 0.551292  confidence: 0.002870  negative_prob: 0.448708  sentiment: 2.000000  
 原文:     房间的布局当然也和金森的一样，只是东侧的窗户并没有像金森的房间那样被堵上。首先映入草薙眼帘的是与这间狭小房间极不相称的超豪华的组台音响，还有堆放在床上的大量盒式磁带。草薙心想他肯定是个音乐发烧友。在墙边堆满了相当多的袖珍本丛书，数量之多令草薙大吃一惊。没有一本杂志，全都是小说。  positive_prob: 0.074089  confidence: 0.835358  negative_prob: 0.925911  sentiment: 0.000000  
 原文:     一个以读书和听音乐为爱好的青年——这就是眼前这位前岛给草薙留下的瞬间印象。他想，这样的年轻人对那些不顾及别人感受、肆意制造噪声的家伙们可能早就恨之入骨了吧。  positive_prob: 0.224596  confidence: 0.500898  negative_prob: 0.775404  sentiment: 0.000000  
 原文:     草薙就站在门口，开始盘问前岛：“刚才发生火灾的时候，你在哪里？”  positive_prob: 0.170785  confidence: 0.620477  negative_prob: 0.829215  sentiment: 0.000000  
 原文:     前岛听到问话后，毫无表情地用手指了指床，意思好像是说在房间里。  positive_prob: 0.025359  confidence: 0.943646  negative_prob: 0.974641  sentiment: 0.000000  
 原文:     “在做什么？”草薙接着问道。前岛身上正穿着开领短袖衬衫，房间内的床也还没铺，应该是还没有睡觉吧。  positive_prob: 0.143764  confidence: 0.680524  negative_prob: 0.856236  sentiment: 0.000000  
 原文:     前岛转过身指了一下放在窗边的电视机。  positive_prob: 0.518523  confidence: 0.629546  negative_prob: 0.481477  sentiment: 1.000000  
 原文:     “看样子是在看电视。”金森把草薙已经看明白了的意思又解释了一遍。  positive_prob: 0.100947  confidence: 0.775674  negative_prob: 0.899053  sentiment: 0.000000  
 原文:     “在事故发生之前，你就没听到什么声音，或者从窗户看到外面发生了什么吗？”  positive_prob: 0.057116  confidence: 0.873076  negative_prob: 0.942884  sentiment: 0.000000  
 原文:     前岛两手插进了运动衫的口袋里，冷漠地摇了摇头。  positive_prob: 0.151378  confidence: 0.663604  negative_prob: 0.848622  sentiment: 0.000000  
 原文:     “噢，是这样啊，那能允许我进去一下吗？我想看一着窗外的状况。”  positive_prob: 0.457493  confidence: 0.149854  negative_prob: 0.542507  sentiment: 1.000000  
 原文:     听草薙这么一说，前岛点了点头，手向窗户的方向伸了一下，好像是说“请”。  positive_prob: 0.109677  confidence: 0.756272  negative_prob: 0.890323  sentiment: 0.000000  
 原文:     草薙说声“失礼了”，就脱鞋进了屋。  positive_prob: 0.138050  confidence: 0.693222  negative_prob: 0.861950  sentiment: 0.000000  
 原文:     窗户的正下方是一条南北走向的马路，来往车辆很少，这个时间段更是没有一辆车经过。草薙突然回想起刚才金森说过，这里本是个僻静的好地方。  positive_prob: 0.396634  confidence: 0.118591  negative_prob: 0.603366  sentiment: 0.000000  
 原文:     左下方就可以看到发生事故的T字形路口，现在还有几个搜查人员在那里来回巡视，像是还在找什么线索。  positive_prob: 0.579442  confidence: 0.065427  negative_prob: 0.420558  sentiment: 2.000000  
 原文:     草薙离开了窗户，目光不经意地落在旁边的扬声器上，那上面放着一本书，是布拉德伯里的《火星编年史》。  positive_prob: 0.350443  confidence: 0.221237  negative_prob: 0.649557  sentiment: 0.000000  
 原文:     “这是你的书吗？”草薙问前岛。  positive_prob: 0.198161  confidence: 0.559643  negative_prob: 0.801839  sentiment: 0.000000  
 原文:     前岛点了点头。  positive_prob: 0.345961  confidence: 0.231197  negative_prob: 0.654039  sentiment: 0.000000  
 原文:     “是嘛，这本书很难读懂的。”  positive_prob: 0.406698  confidence: 0.096226  negative_prob: 0.593302  sentiment: 0.000000  
 原文:     “你也读过吗？”金森询问道。  positive_prob: 0.274129  confidence: 0.390824  negative_prob: 0.725871  sentiment: 0.000000  
 原文:     “很久以前是打算读来着，但是很受挫，大概我不是那种适合读书的人。”  positive_prob: 0.654991  confidence: 0.233313  negative_prob: 0.345009  sentiment: 2.000000  
 原文:     本以为会招来嘲笑，谁知金森井没有笑的意思，只是呆呆地听着，前岛也只是默默地看着窗外。  positive_prob: 0.202921  confidence: 0.549065  negative_prob: 0.797079  sentiment: 0.000000  
 原文:     即使来这里搜查，也弄不到什么线索——草薙立刻就下了这个判断。  positive_prob: 0.402005  confidence: 0.106655  negative_prob: 0.597995  sentiment: 0.000000  
 原文:     “如果想起什么的话，希望能和我联系。”他说着便离开了205号房间。  positive_prob: 0.692067  confidence: 0.315703  negative_prob: 0.307933  sentiment: 2.000000  
 原文:     3  positive_prob: 0.487468  confidence: 0.749365  negative_prob: 0.512532  sentiment: 1.000000  
 原文:     怪事发生后的第三天，草薙就去了帝都大学理工学院物理系第十三研究室。  positive_prob: 0.306398  confidence: 0.319116  negative_prob: 0.693602  sentiment: 0.000000  
 原文:     他是从该校的社会系毕业的，因此，读书的时候从来没有踏进过理工学院一步。毕业十多年后再去这样的地方，他自己也觉得很奇怪。  positive_prob: 0.641870  confidence: 0.204156  negative_prob: 0.358130  sentiment: 2.000000  
 原文:     一座灰色的四层建筑就是物理学院所在的教学楼。即使是从下往上仰望这座教学楼，草薙都觉得这楼没精神。他自我剖析原因，觉得自己天生就是一个理科白痴！  positive_prob: 0.926425  confidence: 0.836500  negative_prob: 0.073575  sentiment: 2.000000  
 原文:     要去的房间在三楼，门前贴了写着老师和学生名字的纸，纸的旁边粘贴了指示路线的磁针贴板。看起来学生们是全员出席了。找到了汤川这个名字，上面写着“在办公室内”。草薙看了一眼手表，约好的时间是两点，刚过一点点。确认之后他才举手敲门，听到里面传来“请进”的声音，他才推开门，进屋的一刹那，他的脚又退缩了回来。  positive_prob: 0.101601  confidence: 0.774219  negative_prob: 0.898399  sentiment: 0.000000  
 原文:     屋里没有开灯，一片漆黑。不，因为是白天，即使不开灯也应该很明亮，那或许是拉上了遮光帘的缘故。  positive_prob: 0.080282  confidence: 0.821596  negative_prob: 0.919718  sentiment: 0.000000  
 原文:     “汤川，你在哪儿？”  positive_prob: 0.212065  confidence: 0.528744  negative_prob: 0.787935  sentiment: 0.000000  
 原文:     在草薙呼喊的同时，忽然从他身旁传来机器的转动声。那声音和摩托车声很像，并且是草薙很熟悉的那一种声音。  positive_prob: 0.100995  confidence: 0.775567  negative_prob: 0.899005  sentiment: 0.000000  
