原文: 　　  positive_prob: 1.000000  confidence: 1.000000  negative_prob: 0.000000  sentiment: 1.000000  
 原文: 　　  positive_prob: 1.000000  confidence: 1.000000  negative_prob: 0.000000  sentiment: 1.000000  
 原文: 　　日高家称不上豪宅，不过光夫妻俩来住的话，可说绰绰有余、十分宽敞。主屋釆用的屋顶形式虽是纯日本风，不过边窗、拱型的玄关、二楼窗际的花坛则全是西式设计。这些想必是夫妻俩各拿一半主意的结果？不，就砖造的围墙来看，应该是夫人比较占上风。她曾经透露，一直想住在欧洲古堡般的家里。  positive_prob: 0.858264  confidence: 0.685030  negative_prob: 0.141736  sentiment: 2.000000  
 原文: 　　更正，不是夫人，应该说是“前夫人”才对。  positive_prob: 0.212365  confidence: 0.528079  negative_prob: 0.787635  sentiment: 0.000000  
 原文: 　　沿着砖造的围墙走，我终于来到方形红砖砌起的大门前，按下了门铃。  positive_prob: 0.727869  confidence: 0.395264  negative_prob: 0.272131  sentiment: 2.000000  
 原文: 　　等了很久都没人来应门，我往停车场一看，日高的SAAB车不在，可能是出门去了。      positive_prob: 0.084059  confidence: 0.813202  negative_prob: 0.915941  sentiment: 0.000000  
 原文: 　　这下要如何打发时间？我突然想起那株樱花。日高家的庭院里，种了一株八重樱，上次来的时候只有三分开，算算已经又过了十天，不知现在怎么样了？  positive_prob: 0.212646  confidence: 0.527453  negative_prob: 0.787354  sentiment: 0.000000  
 原文: 　　虽然是别人的家，不过仗着自己是主人朋友的份上，就不请自入了。通往玄关的小路在途中岔了开来，往建筑的南边延伸而去。我踏上小径，朝庭院的方向走。  positive_prob: 0.919594  confidence: 0.821320  negative_prob: 0.080406  sentiment: 2.000000  
 原文: 　　樱花早已散落一地，树枝上还残留着几许可堪观赏的花瓣。不过这会儿我可无心观赏，因为有个陌生的女人站在那里。  positive_prob: 0.547137  confidence: 0.057262  negative_prob: 0.452863  sentiment: 1.000000  
 原文: 　　那女人弯着腰，好像正看着地上的什么东西。她身着简便的牛仔裤和毛衣，手里拿着一块像白布的东西。  positive_prob: 0.507424  confidence: 0.851521  negative_prob: 0.492576  sentiment: 1.000000  
 原文: 　　“请问，”我出声问道。女子好像吓了一大跳，猛地转过身来，迅速地挺直腰杆。  positive_prob: 0.327557  confidence: 0.272096  negative_prob: 0.672443  sentiment: 0.000000  
 原文: 　　“啊！对不起。”她说，“我的东西被风吹到院子里了，因为这家人好像不在，所以我就自己进来了。”她将手里的东西拿给我看，是一顶白色的帽子。  positive_prob: 0.272228  confidence: 0.395049  negative_prob: 0.727772  sentiment: 0.000000  
 原文: 　　她的年龄看来应在三十五到四十之间，眼睛、鼻子、嘴巴都很小，长相平凡，脸色也不太好看。  positive_prob: 0.055356  confidence: 0.876986  negative_prob: 0.944644  sentiment: 0.000000  
 原文: 　　刚才的风有那么强，会把帽子吹掉？我心里犯着嘀咕。  positive_prob: 0.616479  confidence: 0.147731  negative_prob: 0.383521  sentiment: 2.000000  
 原文: 　　“您好像很专注地在审视地面呢。”  positive_prob: 0.600409  confidence: 0.112020  negative_prob: 0.399591  sentiment: 2.000000  
 原文: 　　“哦，因为草皮很漂亮，我在猜，不知是怎么保养的。”  positive_prob: 0.793078  confidence: 0.540174  negative_prob: 0.206922  sentiment: 2.000000  
 原文: 　　“唔，这我就不知道了，这是我朋友的家。”  positive_prob: 0.245746  confidence: 0.453899  negative_prob: 0.754254  sentiment: 0.000000  
 原文: 　　她点了点头，好像知道我不是这家的主人。  positive_prob: 0.282701  confidence: 0.371775  negative_prob: 0.717299  sentiment: 0.000000  
 原文: 　　“不好意思打扰了！”她点了点头，与我擦身而过，往门那一头走去。  positive_prob: 0.600901  confidence: 0.113113  negative_prob: 0.399099  sentiment: 2.000000  
 原文: 　　之后大概过了五分钟左右吧，停车场那边传来车子引擎的声音，好像是日高回来了。  positive_prob: 0.126977  confidence: 0.717829  negative_prob: 0.873023  sentiment: 0.000000  
 原文: 　　我走回玄关时，深蓝色的轿车正倒车驶入停车场，驾驶座上的日高注意到我来了，向我微微地点了个头。驾驶座旁的理惠，一边微笑一边对我解释。  positive_prob: 0.711635  confidence: 0.359189  negative_prob: 0.288365  sentiment: 2.000000  
 原文: 　　“对不起，本想出门去买点东西，结果碰到了大塞车，真伤脑筋。”一下车，日高马上举起手做了个手刀的姿势，表示抱歉，“等很久了吗？”  positive_prob: 0.023782  confidence: 0.947151  negative_prob: 0.976218  sentiment: 0.000000  
 原文: 　　“没有，并没有多久，我跑去院子看樱花了。”  positive_prob: 0.139276  confidence: 0.690498  negative_prob: 0.860724  sentiment: 0.000000  
 原文: 　　“已经开始凋落了吧？”  positive_prob: 0.312400  confidence: 0.305778  negative_prob: 0.687600  sentiment: 0.000000  
 原文: 　　“有一点，不过真是棵漂亮的树呢。”  positive_prob: 0.804400  confidence: 0.565334  negative_prob: 0.195600  sentiment: 2.000000  
 原文: 　　“开花的时候是很好啦，之后就麻烦了。工作室的窗口离得比较近，毛毛虫都从外面跑进来了。”  positive_prob: 0.776604  confidence: 0.503565  negative_prob: 0.223396  sentiment: 2.000000  
 原文: 　　“这就伤脑筋了。不过，反正你也不会在这里工作了，对吧？”  positive_prob: 0.163607  confidence: 0.636428  negative_prob: 0.836393  sentiment: 0.000000  
 原文: 　　“嗯，一想到可以从那毛毛虫地狱里逃出来，我就松了一口气。啊，还是先进来吧，我们还留着一些器具，可以请你喝杯咖啡。”  positive_prob: 0.800234  confidence: 0.556075  negative_prob: 0.199766  sentiment: 2.000000  
 原文: 　　通过垂拱的玄关，我们陆续进入屋里。  positive_prob: 0.719767  confidence: 0.377260  negative_prob: 0.280233  sentiment: 2.000000  
 原文: 　　屋子已经整理得差不多，原先墙壁上的挂画也收了起来。  positive_prob: 0.238589  confidence: 0.469802  negative_prob: 0.761411  sentiment: 0.000000  
 原文: 　　“你们行李都收拾好了？”我问日高。  positive_prob: 0.351532  confidence: 0.218818  negative_prob: 0.648468  sentiment: 0.000000  
 原文: 　　“除了工作室外，大致都收拾好了，剩下的就交给搬家公司了。”  positive_prob: 0.743035  confidence: 0.428966  negative_prob: 0.256965  sentiment: 2.000000  
 原文: 　　“今晚打算住在哪里？”  positive_prob: 0.375735  confidence: 0.165033  negative_prob: 0.624265  sentiment: 0.000000  
 原文: 　　“早就定好皇冠饭店了。不过我可能要睡在这里。”  positive_prob: 0.547676  confidence: 0.046472  negative_prob: 0.452324  sentiment: 1.000000  
 原文: 　　我和日高走进工作室。那是一间约十张塌塌米大的西式房间，里面只剩下电脑、书桌和一个小书架，显得空荡荡的，其余的东西大概都打包了吧。  positive_prob: 0.481401  confidence: 0.628017  negative_prob: 0.518599  sentiment: 1.000000  
 原文: 　　“这么说来，你明天还有稿子要交差喽？”  positive_prob: 0.448463  confidence: 0.003415  negative_prob: 0.551537  sentiment: 0.000000  
 原文: 　　日高眉头一皱，点了点头：“连载的部分还剩下一回，预定今晚半夜要传给出版社，所以到现在电话都没敢切断。”  positive_prob: 0.147311  confidence: 0.672643  negative_prob: 0.852689  sentiment: 0.000000  
 原文: 　　“是聪明社月刊的稿子吧？”  positive_prob: 0.352933  confidence: 0.215704  negative_prob: 0.647067  sentiment: 0.000000  
 原文: 　　“是啊。”  positive_prob: 0.468140  confidence: 0.362801  negative_prob: 0.531860  sentiment: 1.000000  
 原文: 　　“还有几页要写？”  positive_prob: 0.378250  confidence: 0.159445  negative_prob: 0.621750  sentiment: 0.000000  
 原文: 　　“三十页。啊，总会有办法的。”  positive_prob: 0.644423  confidence: 0.209828  negative_prob: 0.355577  sentiment: 2.000000  
 原文: 　　房里有两张椅子，我们各坐在书桌一角的两侧，不久，理惠端了咖啡进来。  positive_prob: 0.424975  confidence: 0.055611  negative_prob: 0.575025  sentiment: 0.000000  
 原文: 　　“不知温哥华的天气怎样，应该比这边冷吧？”我向两人问道。  positive_prob: 0.262915  confidence: 0.415745  negative_prob: 0.737085  sentiment: 0.000000  
 原文: 　　“因为纬度完全不一样，所以冷多了。”  positive_prob: 0.300867  confidence: 0.331408  negative_prob: 0.699133  sentiment: 0.000000  
 原文: 　　“不过能过个凉凉爽爽的夏天真是不错。一直待在冷气房里，对身体不好。”  positive_prob: 0.625683  confidence: 0.168185  negative_prob: 0.374317  sentiment: 2.000000  
 原文: 　　“待在凉爽的屋子里顺利工作……如果能这样就太好了，不过大概不可能吧？”日高自嘲地笑着。  positive_prob: 0.822570  confidence: 0.605711  negative_prob: 0.177430  sentiment: 2.000000  
 原文: 　　“野野口先生，到时您一定要来玩喔，我可以当您的向导。”  positive_prob: 0.337617  confidence: 0.249740  negative_prob: 0.662383  sentiment: 0.000000  
 原文: 　　“谢谢，我一定去。”  positive_prob: 0.831504  confidence: 0.625563  negative_prob: 0.168497  sentiment: 2.000000  
 原文: 　　“你们慢慢聊。”说完，理惠就离开了房间。  positive_prob: 0.428533  confidence: 0.047705  negative_prob: 0.571467  sentiment: 0.000000  
 原文: 　　日高拿着咖啡杯站了起来，倚在窗边向庭院眺望。  positive_prob: 0.603771  confidence: 0.119490  negative_prob: 0.396229  sentiment: 2.000000  
 原文: 　　“能看到这株樱花盛开的样子真好。”他说。  positive_prob: 0.840546  confidence: 0.645658  negative_prob: 0.159454  sentiment: 2.000000  
 原文: 　　“从明年起，我会拍下开花的美丽照片，寄到加拿大给你。对了，加拿大那边也有樱花吧？”  positive_prob: 0.766524  confidence: 0.481165  negative_prob: 0.233476  sentiment: 2.000000  
 原文: 　　“不知道。不过即将搬进去的房子附近好像没有。”他啜着咖啡说道。  positive_prob: 0.357214  confidence: 0.206190  negative_prob: 0.642786  sentiment: 0.000000  
 原文: 　　“说到这个，我刚刚在院子里碰到一个奇怪的女人。”我本来有点犹豫，不知该不该说，后来还是决定让他知道比较好。  positive_prob: 0.402748  confidence: 0.105004  negative_prob: 0.597252  sentiment: 0.000000  
 原文: 　　“奇怪的女人？”日高挑起了眉毛。  positive_prob: 0.234374  confidence: 0.479169  negative_prob: 0.765626  sentiment: 0.000000  
 原文: 　　我把刚刚的情景说给他听，结果他的表情从一开始的讶异转为了然于胸的神态。  positive_prob: 0.233182  confidence: 0.481818  negative_prob: 0.766818  sentiment: 0.000000  
 原文: 　　“你说的那个女的是否长得像木刻的乡土玩偶？”  positive_prob: 0.130533  confidence: 0.709926  negative_prob: 0.869467  sentiment: 0.000000  
 原文: 　　“啊，没错，经你这么一说，好像真是这样。”日高比喻得真贴切，我笑了出来。  positive_prob: 0.605640  confidence: 0.123645  negative_prob: 0.394360  sentiment: 2.000000  
 原文: 　　“她好像姓新见，住在这附近。外表看来比实际年龄年轻，不过应该已经超过四十了。有一个读国中的儿子——是个不折不扣的小混蛋。丈夫很少在家，大概是一个人在外地工作吧，这是理惠的推断。”  positive_prob: 0.136927  confidence: 0.695718  negative_prob: 0.863073  sentiment: 0.000000  
 原文: 　　“你知道得还真详细呢，你们感情很好啊？”  positive_prob: 0.763612  confidence: 0.474692  negative_prob: 0.236388  sentiment: 2.000000  
 原文: 　　“和那个女人？怎么可能！”他把窗子打开，拉起纱窗，凉风徐徐地吹了进来，风里混杂着树叶的味道，“正好相反，”他继续说道，“应该说她恨我们比较恰当。”  positive_prob: 0.359485  confidence: 0.201145  negative_prob: 0.640515  sentiment: 0.000000  
 原文: 　　“恨？她看起来很正常啊！是什么原因？”  positive_prob: 0.141725  confidence: 0.685055  negative_prob: 0.858275  sentiment: 0.000000  
 原文: 　　“为了猫。”  positive_prob: 0.433070  confidence: 0.037623  negative_prob: 0.566930  sentiment: 0.000000  
 原文: 　　“猫？这和猫有什么关系？”  positive_prob: 0.317975  confidence: 0.293388  negative_prob: 0.682024  sentiment: 0.000000  
 原文: 　　“最近那个女的养的猫死了。听说是忽然倒在路边，带它去看兽医，结果兽医说，那只猫可能被人下了毒。”  positive_prob: 0.096043  confidence: 0.786571  negative_prob: 0.903957  sentiment: 0.000000  
 原文: 　　“这和你又有什么关系？”  positive_prob: 0.247682  confidence: 0.449595  negative_prob: 0.752318  sentiment: 0.000000  
 原文: 　　“她似乎怀疑猫是吃了我做的毒丸子才死的。”  positive_prob: 0.064233  confidence: 0.857259  negative_prob: 0.935767  sentiment: 0.000000  
 原文: 　　“你？为什么她会这么认为？”  positive_prob: 0.194938  confidence: 0.566805  negative_prob: 0.805062  sentiment: 0.000000  
 原文: 　　“就是这篇，”日高从仅存的那方书架里抽出一本月刊，打开书页放到我的面前，“你读读这个。”  positive_prob: 0.342235  confidence: 0.239479  negative_prob: 0.657765  sentiment: 0.000000  
 原文: 　　那是一则约半页篇幅的短文，题目为《忍耐的极限》，文章上方摆着日高的照片。内容主要是说到处乱跑的猫带给自己多大的困扰：早上，院子里一定会出现猫粪；车子停在停车场，引擎盖上布满猫的脚印；花盆里植物的叶子被啃得乱七八糟。虽然知道这些罪行全是一只白棕色的花猫犯下的，却苦无对策。就算立了一整排保特瓶挡它，也一点效果都没有。每天每天都在挑战自己忍耐的极限……内容大既是这样。  positive_prob: 0.346043  confidence: 0.231016  negative_prob: 0.653957  sentiment: 0.000000  
 原文: 　　“死掉的那只猫是白棕斑点的？”  positive_prob: 0.297178  confidence: 0.339604  negative_prob: 0.702822  sentiment: 0.000000  
 原文: 　　“唔，好像是这样。”  positive_prob: 0.188755  confidence: 0.580544  negative_prob: 0.811245  sentiment: 0.000000  
 原文: 　　“那难怪了，”我苦笑着，点了点头，“她怀疑你也不是没道理的。”  positive_prob: 0.040952  confidence: 0.908996  negative_prob: 0.959048  sentiment: 0.000000  
 原文: 　　“上个礼拜吧，她气冲冲地跑到这里来，虽然没指名道姓说是我下的毒，不过话里就是这个意思。虽然理惠生气地说：‘我们才不会干这种事！’，并将她轰了回去，不过就她在院子里徘徊的行径看来，想必还在怀疑我们。大概想找寻是否有毒丸子残余的痕迹吧？”  positive_prob: 0.013940  confidence: 0.969022  negative_prob: 0.986060  sentiment: 0.000000  
 原文: 　　“还真是执着呢！”  positive_prob: 0.481136  confidence: 0.622721  negative_prob: 0.518864  sentiment: 1.000000  
 原文: 　　“那种女人就是这样。”  positive_prob: 0.341550  confidence: 0.240999  negative_prob: 0.658450  sentiment: 0.000000  
 原文: 　　“她不知道你们就要搬到加拿大去住了吗？”  positive_prob: 0.180682  confidence: 0.598485  negative_prob: 0.819318  sentiment: 0.000000  
 原文: 　　“理惠有跟她说啊，说我们下礼拜就要到温哥华住上好一阵子，所以你们家的猫再怎么作乱，我们也只要忍耐一下子就好了。这样看来，理惠倒也蛮强悍的呢。”日高好像觉得颇为有趣地笑了。  positive_prob: 0.877064  confidence: 0.726809  negative_prob: 0.122936  sentiment: 2.000000  
 原文: 　　“不过理惠小姐说的话很有道理，你们根本没有理由急着在这个时候杀死那只猫嘛！”  positive_prob: 0.042586  confidence: 0.905365  negative_prob: 0.957414  sentiment: 0.000000  
 原文: 　　不知为什么，日高并没有马上附和我的话。他依然面带微笑，眺望着窗外的风景，将咖啡喝光后，他阴沉地说道：“是我做的。”  positive_prob: 0.511518  confidence: 0.769636  negative_prob: 0.488482  sentiment: 1.000000  
 原文: 　　“耶？”我忽然不懂他所说的话，于是又问了一次，“什么意思？”  positive_prob: 0.128674  confidence: 0.714059  negative_prob: 0.871326  sentiment: 0.000000  
 原文: 　　他将咖啡杯放到桌上，拿出了香烟和打火机。  positive_prob: 0.343920  confidence: 0.235734  negative_prob: 0.656080  sentiment: 0.000000  
 原文: 　　“是我杀的，我把毒丸子放到院子里，只是没想到事情竟然会这么顺利。”  positive_prob: 0.576540  confidence: 0.058978  negative_prob: 0.423460  sentiment: 2.000000  
 原文: 　　听到这些话从他嘴里说出，我还是以为他只是在开玩笑。然而他虽维持一贯的笑脸，却不像在开玩笑。  positive_prob: 0.294618  confidence: 0.345294  negative_prob: 0.705382  sentiment: 0.000000  
 原文: 　　“你说的那个毒丸子要怎么做？”  positive_prob: 0.141661  confidence: 0.685198  negative_prob: 0.858339  sentiment: 0.000000  
 原文: 　　“哪有怎么做，猫罐头里掺入农药放到院子里就结了，没教养的猫好像什么都吃的样子。”日高将香烟拿近，点燃了火，惬意地吞云吐雾。从纱窗吹入的风霎时将烟雾吹散了。          positive_prob: 0.279041  confidence: 0.379910  negative_prob: 0.720959  sentiment: 0.000000  
 原文: 　　“你干嘛要做那种事？”我问道，心里感觉不太舒服。  positive_prob: 0.195026  confidence: 0.566608  negative_prob: 0.804974  sentiment: 0.000000  
 原文: 　　“我跟你说过，这间屋子到现在都还租不出去吧？”他面色一整，认真地说道。  positive_prob: 0.502725  confidence: 0.945509  negative_prob: 0.497276  sentiment: 1.000000  
 原文: 　　“唔。”——日高夫妇打算在搬去加拿大的那段期间，将这间房子租给别人。  positive_prob: 0.548036  confidence: 0.039289  negative_prob: 0.451964  sentiment: 1.000000  
 原文: 　　“是不断有中介业者来探问啦，可是他们告诉我，这里有一个缺点。”  positive_prob: 0.397353  confidence: 0.116994  negative_prob: 0.602647  sentiment: 0.000000  
 原文: 　　“是什么？”  positive_prob: 0.249454  confidence: 0.445659  negative_prob: 0.750546  sentiment: 0.000000  
 原文: 　　“他们说房子前面排了一排挡猫的瓶子，好像深受猫害的困扰。这样的状况确实会影响租房子的意愿。”  positive_prob: 0.329763  confidence: 0.267193  negative_prob: 0.670237  sentiment: 0.000000  
 原文: 　　“那你把挡猫瓶拿掉不就好了？”  positive_prob: 0.124650  confidence: 0.723001  negative_prob: 0.875350  sentiment: 0.000000  
 原文: 　　“这并非根本的解决之道。到时如果有想租的人来看房子，看到满院子都是猫粪要怎么办？我们还在的话是可以天天打扫，可是明天这里就没人住了，肯定会臭得要死。”  positive_prob: 0.035251  confidence: 0.921665  negative_prob: 0.964749  sentiment: 0.000000  
 原文: 　　“所以你就杀了它？”  positive_prob: 0.239483  confidence: 0.467815  negative_prob: 0.760517  sentiment: 0.000000  
 原文: 　　“这应该是饲主的责任，不过你刚才看到的那位太太好像不了解这点。”日高在烟灰缸里把香烟捻熄。  positive_prob: 0.238207  confidence: 0.470651  negative_prob: 0.761793  sentiment: 0.000000  
 原文: 　　“理惠知道这件事吗？”       positive_prob: 0.219015  confidence: 0.513300  negative_prob: 0.780985  sentiment: 0.000000  
 原文: 　　听我这么一问，日高扬起半边脸，一边笑一边摇头：“哪能让她知道！女人啊，百分之八十都喜欢猫，要是我跟她讲了实话，她肯定会说我是魔鬼的。”  positive_prob: 0.352884  confidence: 0.215814  negative_prob: 0.647116  sentiment: 0.000000  
 原文: 　　我不知该怎么接下去，只好沉默以对。这时恰好电话响起，日高拿起话筒。  positive_prob: 0.211946  confidence: 0.529009  negative_prob: 0.788054  sentiment: 0.000000  
 原文: 　　“喂？啊，你好，我正想你也该打电话来了……嗯，按照计划进行……哈，被你识破啦？我这才要开始写呢……是啊，我想今天晚上一定能搞定……好，我一定成就马上传过去……不行，这支电话只能用到明天中午为止，所以我打电话过去好了……嗯，我会从饭店打过去。好，那就先这样了。”  positive_prob: 0.647602  confidence: 0.216894  negative_prob: 0.352398  sentiment: 2.000000  
 原文: 　　挂断电话，他轻轻地叹了口气。  positive_prob: 0.410583  confidence: 0.087594  negative_prob: 0.589417  sentiment: 0.000000  
 原文: 　　“是编辑吗？”我问。  positive_prob: 0.269994  confidence: 0.400014  negative_prob: 0.730006  sentiment: 0.000000  
 原文: 　　“聪明社的山边先生。虽然我拖稿拖习惯了，不过这次他真的不放心。因为他怕我跑掉，后天就不在日本了。”  positive_prob: 0.610766  confidence: 0.135036  negative_prob: 0.389234  sentiment: 2.000000  
 原文: 　　“那我就不多打扰，告辞了。”我从椅子上站了起来。  positive_prob: 0.519585  confidence: 0.608303  negative_prob: 0.480415  sentiment: 1.000000  
 原文: 　　就在此时，听到屋内对讲机的声音。我原以为是推销员之类的，不过好像不是这样。  positive_prob: 0.116257  confidence: 0.741652  negative_prob: 0.883743  sentiment: 0.000000  
 原文: 　　走廊传来理惠走近的脚步声，接着是敲门的声音。  positive_prob: 0.243986  confidence: 0.457810  negative_prob: 0.756014  sentiment: 0.000000  
 原文: 　　“什么事？”日高问。  positive_prob: 0.236558  confidence: 0.474316  negative_prob: 0.763442  sentiment: 0.000000  
 原文: 　　门打开了，理惠一脸郁卒地探出头来。  positive_prob: 0.290599  confidence: 0.354225  negative_prob: 0.709401  sentiment: 0.000000  
 原文: 　　“藤尾小姐来了。”声音闷闷的。  positive_prob: 0.104734  confidence: 0.767258  negative_prob: 0.895266  sentiment: 0.000000  
 原文: 　　日高的脸就像暴风雨前的天空一样，布满阴霾：“藤尾……藤尾美弥子吗？”  positive_prob: 0.099625  confidence: 0.778611  negative_prob: 0.900375  sentiment: 0.000000  
 原文: 　　“嗯，她说无论如何今天都要跟你谈。”  positive_prob: 0.211647  confidence: 0.529672  negative_prob: 0.788353  sentiment: 0.000000  
 原文: 　　“真糟糕。”日高咬着下唇，“大概是听到我们要去加拿大的风声了。”  positive_prob: 0.018885  confidence: 0.958033  negative_prob: 0.981115  sentiment: 0.000000  
 原文: 　　“要我告诉她你很忙，请她回去吗？”  positive_prob: 0.246101  confidence: 0.453108  negative_prob: 0.753899  sentiment: 0.000000  
 原文: 　　“这个嘛，”他想了一下，“不，我见她好了。”日高说，“我也觉得就在这里把事情解决掉会比较轻松，你带她过来吧。”  positive_prob: 0.643794  confidence: 0.208432  negative_prob: 0.356206  sentiment: 2.000000  
 原文: 　　“好是好啦……”理惠担心地往我这边看来。  positive_prob: 0.829908  confidence: 0.622017  negative_prob: 0.170092  sentiment: 2.000000  
 原文: 　　“啊，我正打算要离开呢。”我说。  positive_prob: 0.855438  confidence: 0.678751  negative_prob: 0.144562  sentiment: 2.000000  
 原文: 　　“对不起。”理惠说完后就消失在门的一头。  positive_prob: 0.069393  confidence: 0.845794  negative_prob: 0.930607  sentiment: 0.000000  
 原文: 　　“真伤脑筋。”日高叹气地说道。  positive_prob: 0.343486  confidence: 0.236698  negative_prob: 0.656514  sentiment: 0.000000  
 原文: 　　“你们刚刚说的藤尾小姐，是藤尾正哉的……？”  positive_prob: 0.150197  confidence: 0.666229  negative_prob: 0.849803  sentiment: 0.000000  
 原文: 　　“妹妹。”他抓搔着略长的头发，“如果她们是想要钱的话还好办，可是如果要我将书全部收回或改写的话，我就碍难从命了。”  positive_prob: 0.296989  confidence: 0.340024  negative_prob: 0.703011  sentiment: 0.000000  
 原文: 　　听到脚步声慢慢接近，日高赶紧闭上了嘴。门外依稀传来理惠说“走廊很暗，对不起”的抱歉声，接着有人敲门，日高应了声“是”。  positive_prob: 0.007455  confidence: 0.983433  negative_prob: 0.992545  sentiment: 0.000000  
 原文: 　　“藤尾小姐来了。”理惠打开门说道。  positive_prob: 0.239932  confidence: 0.466818  negative_prob: 0.760068  sentiment: 0.000000  
 原文: 　　站在她背后的，是一位看来二十六、七岁的长发女性，身上穿着女大学生去拜访企业时会穿的那种套装，让人觉得这位不速之客好像还刻意维持着应有的礼貌。  positive_prob: 0.298001  confidence: 0.337775  negative_prob: 0.701999  sentiment: 0.000000  
 原文: 　　“那我先走了。”我向日高说道。我原本想告诉他可以的话，后天我会去送行，但还是没说出口。我心里琢磨着，要是在这时候刺激到藤尾美弥子就不好了。  positive_prob: 0.223614  confidence: 0.503080  negative_prob: 0.776386  sentiment: 0.000000  
